"samps","Otu4","Otu58","Otu77","Otu86","Otu101","Otu9","Otu11","Otu10","Otu54","Otu42","Otu40","Otu74","Otu72","Otu79","Otu6","Otu70","Otu62","Otu7","Otu99","Otu76","Otu100"
"189",56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",21,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192a",142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192b",171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",2338,10,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"196",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",121,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"199",219,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"2",18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",2790,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",385,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"213",426,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",483,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"219",138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",711,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"224",2,0,0,0,0,2,0,0,0,0,0,0,0,0,5319,0,0,0,0,0,0
"227",1366,10,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"23",269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",219,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"235",2277,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",981,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"25",435,5,1,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0
"251",133,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",2214,12,2,0,0,0,0,0,0,0,0,0,0,0,90,237,0,0,0,0,0
"254",954,11,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
"258",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259",63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"26",237,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"260a",681,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260b",504,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",583,5,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"271",136,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"272",2058,17,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"275",856,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276",532,3,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"28",35,1,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
"282",595,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"287",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"288",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294",1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31a",250,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31b",325,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"32",242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1394,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",1162,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",2072,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",1604,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1211,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",138,2,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0,0,0
"48",947,2,1,1,0,1425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"49",1866,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",489,1,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
"51",224,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",968,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1207,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",816,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",46,0,0,0,0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",1,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57",1725,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1363,8,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
"59",456,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",1234,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",19,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0
"67",69,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
"68",2041,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69",2931,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",357,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"71",177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2383,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",396,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"76",520,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1912,13,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",174,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",11,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"8",10,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0
"80",624,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",1566,1,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0
"87",4184,25,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",399,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89",262,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",713,3,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",799,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",356,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",563,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",1262,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",1552,9,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"black ",0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"deadly",0,0,0,0,0,3,0,0,0,0,0,0,0,0,9546,0,0,0,0,0,0
"fuzzy",0,0,0,0,0,16335,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Inoculum1a",1,0,0,0,1,0,4813,6658,522,1208,1141,78,97,36,0,0,0,0,0,0,0
"Inoculum1b",1,0,0,0,0,0,854,1375,82,137,153,5,15,4,0,0,0,0,0,0,0
"Inoculum2a",0,0,0,0,0,0,2559,4218,51,158,401,55,65,21,0,0,0,0,0,0,0
"Inoculum2b",0,0,0,0,0,0,719,1641,22,30,91,16,22,0,0,0,0,0,0,0,0
"neg_control",0,0,0,0,0,8,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0
"Undifilum",1,0,0,0,0,5,0,0,0,0,0,0,0,0,15955,0,0,0,0,0,0
